Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Enterprise,69.4,20.7,0.5,2,8.8
AL,Epes town,8.9,91.1,0,0,0
AL,Ethelsville town,74.1,25.9,0,0,0
AL,Eufaula,51,44.6,0.5,0.6,4.3
AL,Eunola CDP,91.4,7.4,0,0.4,1.6
AL,Eutaw town,18.1,80.2,0.1,0.4,1.3
AL,Eva town,96.3,0,0.4,0.2,0.4
AL,Evergreen,34.8,62.4,0.2,0.2,2.3
AL,Excel town,91.1,5,1.4,0,0.7
AL,Fairfield,4.2,94.6,0,0,1.1
AL,Fairford CDP,61.3,17.7,19.9,0,0
AL,Fairhope,91.1,6.2,0.2,0.7,2.8
AL,Fairview town,95.5,0.2,0,0.4,11.2
AL,Falkville town,92.1,3.4,1.1,0.1,2.2
AL,Faunsdale town,67.3,32.7,0,0,0
AL,Fayette,73.4,24.3,0.3,0.3,1.4
AL,Fayetteville CDP,97.2,1.3,0.3,0,0.3
AL,Fitzpatrick CDP,78.3,21.7,0,0,2.4
AL,Five Points town,46.8,52.5,0,0,0
AL,Flomaton town,69.5,27.2,1.6,0.1,2.3
AL,Florala town,80.1,15.8,0.8,0.4,2.8
AL,Florence,75,19.4,0.4,1.4,3.6
AL,Foley,77.1,14.9,0.6,1.1,9.5
AL,Forestdale CDP,26.2,71.4,0.2,0.2,1.4
AL,Forkland town,11.9,87.4,0.2,0,0.8
AL,Fort Deposit town,23.7,75.5,0.1,0.1,0.4
AL,Fort Payne,77.6,4.2,0.9,0.8,20.9
AL,Fort Rucker CDP,77.7,11.9,0.8,1.3,13.2
AL,Franklin town,47.7,49.7,0,1.3,0
AL,Fredonia CDP,87.9,11.6,0,0,0
AL,Frisco town,45.4,49.3,1.3,0,1.8
AL,Fruitdale CDP,70.3,28.6,0,0,1.6
AL,Fruithurst town,98.2,0,1.1,0.4,0
AL,Fulton town,84.9,11,0,0.7,3.3
AL,Fultondale,75.1,16.6,0.4,1,10.8
AL,Fyffe town,94,0.3,1.5,0.7,1.3
AL,Gadsden,57.3,36.3,0.4,0.6,5.4
AL,Gainesville town,16.3,82.2,0,0,0
AL,Gallant CDP,96.7,0.2,0.6,0,1.6
AL,Gantt town,77,23,0,0,0
AL,Garden town,98.2,0.2,0.4,0,0.4
AL,Gardendale,88.4,8.6,0.3,1.2,1.5
AL,Gaylesville town,96.5,0,0,0,3.5
AL,Geiger town,26.5,73.5,0,0,2.9
AL,Geneva,83.2,14,0.4,0.4,1.8
AL,Georgiana town,33.1,65.4,0.3,0.1,0.3
AL,Geraldine town,93.5,0.3,3.7,0,2
AL,Gilbertown town,77.2,21.9,0,0.5,0
AL,Glen Allen town,89.4,9.4,0.2,0.2,0.2
AL,Glencoe,96.5,1.3,0.3,0.5,0.8
AL,Glenwood town,70.1,29.9,0,0,0
AL,Goldville town,100,0,0,0,5.5
AL,Good Hope town,92.7,0.3,0.4,0.5,7.7
AL,Goodwater town,24.3,73.7,0.7,0,0.7
AL,Gordo town,58.9,37.8,0.2,0.2,1.5
AL,Gordon town,21.4,76.5,0.3,0,1.5
AL,Gordonville town,5.2,94.8,0,0,0
AL,Goshen town,76.7,22.6,0.4,0,0
AL,Graham CDP,83.9,16.1,0,0,0
AL,Grand Bay CDP,86.9,9.4,0.6,0.7,2.3
AL,Grant town,98.1,0,0,0.4,1.3
AL,Grayson Valley CDP,70.6,25.8,0.3,0.9,2.2
AL,Graysville,73.9,23.6,0.4,0.2,1.7
AL,Greensboro,32,66.5,0.2,0.8,0.5
AL,Greenville,41.7,55.5,0,1.8,1.3
AL,Grimes town,55.9,36.7,0,0,2.9
AL,Grove Hill town,56.6,41.3,0.3,0.3,2
AL,Guin,86.9,10.9,0,0.1,1.3
AL,Gulfcrest CDP,88.2,3.1,5.6,0,1.2
AL,Gulf Shores,93.4,1.5,0.5,0.9,4
AL,Guntersville,85.8,7.8,0.5,1.5,3.8
AL,Gurley town,76.3,17.1,1.7,1.2,3.5
AL,Gu-Win town,85.8,5.1,4,0,4
AL,Hackleburg town,97.7,0.1,0.2,0,1.3
AL,Hackneyville CDP,97.7,0.9,0.3,1.2,0.3
AL,Haleburg town,94.2,4.9,0,0,0
AL,Haleyville,92.1,0.7,1,0.5,6
AL,Hamilton,89.3,7.7,0.4,0.2,3.1
AL,Hammondville town,90,0.8,0.2,0.6,6.8
AL,Hanceville,92.4,3.6,0.2,0.7,2.4
