Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
FL,Palm River-Clair Mel CDP,54.6,30.1,0.4,2.2,39.1
FL,Palm Shores town,84.4,6.8,0.1,2.8,7.2
FL,Palm Springs village,72.7,12.1,0.5,1.7,50.6
FL,Palm Springs North CDP,95.2,1.4,0.1,0.5,77.7
FL,Palm Valley CDP,94.8,1.3,0.2,1.8,3.8
FL,Panacea CDP,95.3,1.7,0.4,0,1.2
FL,Panama,71.6,22,0.5,1.6,5.1
FL,Panama Beach,89.5,2.3,0.6,2.7,5.8
FL,Paradise Heights CDP,72.7,7.3,0.4,0.8,32.5
FL,Parker,78.5,12.5,0.9,2.5,5.6
FL,Parkland,84,6.5,0.1,5.9,13
FL,Pasadena Hills CDP,88.2,5.1,0.4,2.2,10.6
FL,Patrick AFB CDP,77.2,11.7,0.9,1.9,18.4
FL,Paxton town,89,3.4,2.6,0.5,2.5
FL,Pea Ridge CDP,89.8,3,0.8,2.2,4.3
FL,Pebble Creek CDP,67.8,12,0.1,12.8,18
FL,Pelican Bay CDP,98.8,0.1,0,0.8,1
FL,Pembroke Park town,37.6,55.3,0.3,1.3,18.1
FL,Pembroke Pines,67.3,19.8,0.3,4.9,41.4
FL,Penney Farms town,90.4,6.5,0,0.9,1.1
FL,Pensacola,66.3,28,0.6,2,3.3
FL,Perry,55,40.1,0.5,1.4,2.2
FL,Pierson town,57.5,4.8,0.3,0.5,54.1
FL,Pine Air CDP,74.4,8.8,0.3,1.5,61.8
FL,Pine Castle CDP,61.8,16.9,0.8,4.8,48.6
FL,Pinecrest village,90.1,2,0.1,5.3,41.3
FL,Pine Hills CDP,19.6,67.6,0.5,3.8,13.9
FL,Pine Island CDP,96.9,3.1,0,0,0
FL,Pine Island Center CDP,95.7,0.3,0.8,0.9,5.5
FL,Pine Lakes CDP,93.3,1,0.2,0.2,8.9
FL,Pineland CDP,94.8,0,0,0,5.2
FL,Pine Level CDP,93,0,1.3,0,3.1
FL,Pinellas Park,81.7,4.7,0.3,7.3,10.7
FL,Pine Manor CDP,56.8,16.7,0.8,0.8,60.2
FL,Pine Ridge CDP (Citrus County),91.1,4.2,0.2,2.3,5.7
FL,Pine Ridge CDP (Collier County),94.9,1.2,0.1,1.3,8
FL,Pinewood CDP,17.5,75.3,0.2,0.5,22.8
FL,Pioneer CDP,88.8,1.1,0.7,0.6,33.6
FL,Pittman CDP,93.3,6.1,0,0.6,2.2
FL,Plantation,69.9,20.3,0.2,3.9,20.4
FL,Plantation CDP,98.2,0.6,0.1,0.7,1.5
FL,Plantation Island CDP,98.2,1.2,0.6,0,3.1
FL,Plantation Mobile Home Park CDP,64.5,14.4,0.6,1.3,39
FL,Plant,69.5,15.1,0.6,1.4,28.8
FL,Poinciana CDP,56.4,24.5,0.7,1.8,51.2
FL,Point Baker CDP,85.4,7.9,1.2,1.6,3.9
FL,Polk town,92.5,1,0.4,0.6,12.1
FL,Pomona Park town,81.1,7.9,1.3,1.2,15.4
FL,Pompano Beach,62.6,28.9,0.3,1.3,17.5
FL,Ponce de Leon town,93.5,1.8,1,0.3,3
FL,Ponce Inlet town,97,0.1,0.3,1,1.8
FL,Port Charlotte CDP,84.8,9.3,0.3,1.6,8.7
FL,Port LaBelle CDP,67.8,9.6,0.4,0.7,53.4
FL,Port Orange,91.3,3.3,0.3,2.2,4.5
FL,Port Richey,92.5,1.7,0.7,1.7,6
FL,Port St. Joe,71.5,25.8,0.4,0.3,2.6
FL,Port St. John CDP,89.5,5.5,0.5,1,6
FL,Port St. Lucie,74.3,16.3,0.4,2,18.4
FL,Port Salerno CDP,82.2,9.1,0.6,0.7,14.7
FL,Pretty Bayou CDP,91.5,3.1,0.4,1.8,3.3
FL,Princeton CDP,60.5,30.7,0.2,1.4,60.9
FL,Progress Village CDP,37.1,51.7,0.2,4,14.9
FL,Punta Gorda,93.3,3.3,0.2,1.1,4.5
FL,Punta Rassa CDP,99,0.9,0,0.2,0.5
FL,Quail Ridge CDP,84.8,8.3,0.3,1.1,14.5
FL,Quincy,23.4,64.4,0.6,0.7,13.9
FL,Raiford town,81.2,14.5,1.2,1.6,2.7
FL,Raleigh CDP,41.8,55.2,1.3,0.3,2.7
FL,Reddick town,44.5,48.6,0.2,0.2,8.9
FL,Redington Beach town,95.3,0.4,0.1,2.5,3.8
FL,Redington Shores town,96.7,0.5,0.2,0.8,4.9
FL,Richmond Heights CDP,22.8,72.1,0.3,0.4,25
FL,Richmond West CDP,82.3,7.8,0.2,2,78.5
FL,Ridgecrest CDP,24.9,67.9,0.3,0.8,9.3
FL,Ridge Manor CDP,93.4,2.3,0.5,0.1,6.7
FL,Ridge Wood Heights CDP,93,1.6,0.4,1.5,8.5
FL,Rio CDP,96.7,0.3,0.1,0.5,3.2
FL,Rio Pinar CDP,82.9,6.4,0.2,4.5,25.2
FL,River Park CDP,84.9,7.8,0.6,1,14.1
FL,River Ridge CDP,93.6,1.3,0.3,1.7,7.2
FL,Riverview CDP,70.2,17,0.4,3.1,21
FL,Riviera Beach,27,65.9,0.4,2.4,7.4
FL,Rockledge,78.7,14.5,0.3,2.4,6.4
FL,Roeville CDP,93.9,1.3,0.5,2.3,1.8
FL,Roosevelt Gardens CDP,2.2,96.5,0.1,0,2
FL,Roseland CDP,94.5,1.1,0.5,0.9,3.6
FL,Rotonda CDP,97.3,1,0.1,0.7,1.9
FL,Royal Palm Beach village,66.6,22.7,0.2,4.2,20.4
FL,Royal Palm Estates CDP,58.3,25.2,0.6,0.9,47.8
FL,Ruskin CDP,71.7,9.1,0.3,1.3,42.9
FL,Safety Harbor,89.7,4.5,0.2,2.6,5.8
FL,St. Augustine,84.2,11.6,0.4,1.2,5.1
FL,St. Augustine Beach,95.8,0.8,0.3,1.2,3.8
FL,St. Augustine Shores CDP,94.7,2.3,0.1,1.2,5.1
FL,St. Augustine South CDP,94.8,1.1,0.2,1.4,4.3
FL,St. Cloud,82.4,5.8,0.4,1.7,29.2
FL,St. James CDP,98.1,0.3,0.2,0.3,2.1
FL,St. Leo town,77,14.6,0.2,1.8,12.2
FL,St. Lucie Village town,95.8,1.9,0.2,0.5,4.6
FL,St. Marks,96.9,1.7,0.3,0.3,0
FL,St. Pete Beach,96,0.7,0.3,1.1,4.4
FL,St. Petersburg,68.7,23.9,0.3,3.2,6.6
FL,Samoset CDP,54.6,27.7,0.4,0.8,34.6
FL,Samsula-Spruce Creek CDP,96.9,0.7,0.2,1.3,2.3
FL,San Antonio,96.5,1.1,0,0.4,6.1
FL,San Carlos Park CDP,86.4,2.9,0.4,1.4,24
FL,San Castle CDP,48.2,38.7,0.9,0.8,33.1
FL,Sanford,57.3,30.5,0.5,2.8,20.2
FL,Sanibel,98,0.6,0.1,0.4,2.3
FL,Sarasota,75.4,15.1,0.4,1.3,16.6
FL,Sarasota Springs CDP,92.7,1.9,0.3,1,10.9
FL,Satellite Beach,92.9,2,0.3,1.8,5.8
FL,Sawgrass CDP,96.1,0.5,0.2,1.4,2.6
FL,Schall Circle CDP,40.7,40.5,3.1,1.2,33.2
FL,Sea Ranch Lakes village,97.3,0.6,0.1,0.6,9.7
FL,Sebastian,90.5,5.3,0.2,1.1,7
FL,Sebring,76,14.7,0.7,1.4,17.6
FL,Seffner CDP,76.5,13.2,0.5,3.8,15.9
FL,Seminole,93.9,1.4,0.3,2.3,4.4
FL,Seminole Manor CDP,61.8,22,2.2,1,39.9
FL,Seville CDP,56.8,24.1,1.1,0.3,26.9
FL,Sewall's Point town,97.5,0.6,0,1,3.1
FL,Shady Hills CDP,95.6,0.7,0.5,0.5,6.5
FL,Shalimar town,88,3.2,1,3.8,5.6
FL,Sharpes CDP,91.9,3.4,0.9,0.6,3.1
FL,Siesta Key CDP,97.5,0.3,0.2,0.7,2.7
FL,Silver Lake CDP,88.3,5.3,0.2,3.3,3.9
FL,Silver Springs Shores CDP,57.5,33.3,0.6,1.1,16.3
FL,Sky Lake CDP,63.9,16.6,0.7,2.7,52.1
FL,Sneads town,78,18.5,0.2,0.4,2.7
FL,Solana CDP,88.1,7.3,0.3,0.8,3.4
FL,Sopchoppy,71.3,25.2,0.4,0.7,2.2
FL,Sorrento CDP,76.4,2.4,11.8,0.2,30.4
FL,South Apopka CDP,26.9,64.1,0.5,0.5,17.7
FL,South Bay,24.6,65,0.2,0.6,23.2
FL,South Beach CDP,98.4,0.1,0.1,0.8,2.3
FL,South Bradenton CDP,77.9,9.2,0.6,1.5,20.8
FL,South Brooksville CDP,84,12.5,0.3,0.8,5.7
FL,Southchase CDP,55.7,14,0.3,11,48.7
FL,South Daytona,84.3,10.9,0.3,1.1,5.5
FL,Southeast Arcadia CDP,55.5,4.9,0.6,0.5,56.7
FL,Southgate CDP,89.9,1.6,0.5,1.7,13.2
FL,South Gate Ridge CDP,88.9,2.4,0.2,1.7,11.9
FL,South Highpoint CDP,61.4,12.1,1.2,6.1,31.1
FL,South Miami,75.1,17,0.3,3.9,43.1
FL,South Miami Heights CDP,67.2,24.3,0.2,1.5,68
FL,South Palm Beach town,97.8,0.4,0.1,0.8,4.6
FL,South Pasadena,95.8,1.8,0.1,1.1,3.2
FL,South Patrick Shores CDP,92.8,1.4,0.5,2.3,5.1
FL,South Sarasota CDP,93.4,1.3,0.3,1.3,6.4
FL,South Venice CDP,95.7,0.6,0.2,1,3.6
FL,Southwest Ranches town,85.9,5.4,0.6,2.8,33.3
FL,Springfield,66,23.8,0.7,3.8,5.8
FL,Spring Hill CDP,88.1,5.1,0.4,1.4,13.6
FL,Springhill CDP,92.5,0.6,4.4,0,1.9
FL,Spring Lake CDP,96.9,0.2,0.4,1.3,6.3
FL,Spring Ridge CDP,94.5,1,0.3,0.8,7
FL,Stacey Street CDP,25.2,41.6,1.3,0.6,49.2
FL,Starke,65.8,29.2,0.3,1.1,3.8
FL,Steinhatchee CDP,98.7,0,0.3,0.3,1.9
FL,Stock Island CDP,79.1,17.2,0.3,0.3,49.7
FL,Stuart,80,12,0.3,1.1,12.3
FL,Sugarmill Woods CDP,95,1.8,0.2,1.4,3.6
FL,Sumatra CDP,98.6,0,0,0,2
FL,Sun Center CDP,95.8,2,0.1,0.9,3.2
FL,Suncoast Estates CDP,92.3,0.9,0.5,0.5,10.1
FL,Sunny Isles Beach,90.6,3.2,0.2,1.4,44.4
FL,Sunrise,56.4,31.8,0.3,4.1,25.6
FL,Sunset CDP,93.4,1.3,0.1,2,80.3
FL,Surfside town,94.6,1.3,0.1,1.3,46.5
FL,Sweetwater,92.4,1.8,0.2,0.5,95.5
FL,Taft CDP,77.1,8.9,0.5,2.4,32.2
FL,Tallahassee,57.4,35,0.2,3.7,6.3
FL,Tamarac,67.2,23.1,0.2,2.5,24.3
FL,Tamiami CDP,94.5,1.3,0.1,0.7,92.7
FL,Tampa,62.9,26.2,0.4,3.4,23.1
FL,Tangelo Park CDP,10,83.7,0.1,0.3,9.7
FL,Tangerine CDP,66.4,20.5,0.1,0.9,21.9
FL,Tarpon Springs,88.1,6.4,0.3,1.4,7.3
FL,Tavares,84.3,10.2,0.4,1.7,7.8
FL,Tavernier CDP,94.8,1.5,0.5,0.4,29.4
FL,Taylor Creek CDP,93.5,1,0.6,1.4,8.2
FL,Temple Terrace,68,19.5,0.4,5.5,14.7
FL,Tequesta village,95.8,0.6,0.1,1.3,6.1
FL,The Acreage CDP,78.9,13.3,0.3,2.6,17.8
FL,The Crossings CDP,88,4.7,0.1,2.5,69.4
FL,The Hammocks CDP,85,6.1,0.2,3.1,76.9
FL,The Meadows CDP,95.7,2.2,0.1,0.8,3.2
FL,The Villages CDP,98.2,0.6,0.1,0.7,1.5
FL,Thonotosassa CDP,76.7,15.6,0.5,1.7,11.8
FL,Three Lakes CDP,78.1,10.4,0.2,4.6,65.4
FL,Three Oaks CDP,90.8,1.8,0.1,2.8,12.9
FL,Tice CDP,51.3,8.6,1.3,0.9,62.2
FL,Tierra Verde CDP,95.3,1.1,0.4,1.4,3.7
FL,Tiger Point CDP,94.6,0.8,0.2,1.9,3.4
FL,Tildenville CDP,16.6,78.3,0,2,10.4
FL,Timber Pines CDP,98.7,0.3,0,0.4,1.4
FL,Titusville,80.8,13.5,0.5,1.4,6.5
FL,Town 'n' Country CDP,76,9.7,0.4,4.1,43.8
FL,Treasure Island,96.7,0.8,0.2,0.8,3
FL,Trenton,74.2,17.6,0.6,0.6,7.9
FL,Trilby CDP,62.5,30.3,0.2,0,11.5
FL,Trinity CDP,93.2,1.5,0.2,2.9,5.5
FL,Tyndall AFB CDP,73.7,13.9,0.5,2.4,13.1
FL,Umatilla,91.5,3.2,0.4,0.2,10.7
FL,Union Park CDP,73.9,8.5,0.7,4,41
FL,University CDP (Hillsborough County),50,32.8,0.6,3.8,29.1
FL,University CDP (Orange County),74.1,12.1,0.3,5.5,21
FL,University Park CDP,90.2,4.5,0.1,1.9,85
FL,Upper Grand Lagoon CDP,91.2,2.3,0.5,1.6,4.6
FL,Valparaiso,84.6,5.7,0.6,3.6,5.5
FL,Valrico CDP,81.4,8.7,0.3,3.9,16.3
FL,Vamo CDP,93.8,1.4,0.3,1.3,7.8
FL,Venice,97.3,0.6,0.1,0.7,2.7
FL,Venice Gardens CDP,94.8,0.9,0.1,1.4,5
FL,Vernon,78.7,14.3,3.5,0.3,3.9
FL,Vero Beach,87.5,4.8,0.3,1.8,10.7
FL,Vero Beach South CDP,88.9,5.3,0.4,1.6,9.5
FL,Verona Walk CDP,95.6,1.2,0.1,0.8,8.2
FL,Viera East CDP,87.9,4.8,0.2,3.3,7.9
FL,Viera West CDP,85.2,5.5,0.2,4.7,10.3
FL,Villano Beach CDP,96.1,0.4,0.6,1,3.8
FL,Villas CDP,88.1,4.2,0.2,1.5,13.1
FL,Vineyards CDP,96.3,0.9,0.1,1.3,4.6
FL,Virginia Gardens village,90.7,2.7,0,1.7,77.3
FL,Wabasso CDP,91.1,5.7,0.2,0.2,4.4
FL,Wabasso Beach CDP,98.8,0.2,0,0.6,1.7
FL,Wacissa CDP,78.5,19.7,0,0,2.3
FL,Wahneta CDP,65.1,1.1,0.9,0.2,64.7
FL,Waldo,70.2,25.9,0.2,0.3,3.2
FL,Wallace CDP,93.9,1.4,1.4,1,1.3
FL,Warm Mineral Springs CDP,96.5,1.5,0.2,0.3,3.3
FL,Warrington CDP,68.9,21.8,1.1,2.5,5.3
FL,Washington Park CDP,2.8,94.9,0,0.4,1.8
FL,Watergate CDP,85.3,5,1.2,1.6,20.1
FL,Watertown CDP,65.2,31.4,0.3,0.2,3
FL,Wauchula,67.2,5.9,0.9,1,48.6
FL,Waukeenah CDP,72.4,26.5,0,0,1.1
FL,Wausau town,94.8,0.8,0.8,0.8,1.6
FL,Waverly CDP,46,45.8,1.7,0,8.3
FL,Webster,53.1,30.7,0.3,0.1,27.4
FL,Wedgefield CDP,74,10.8,0.3,5.1,25.5
FL,Weeki Wachee,100,0,0,0,0
FL,Weeki Wachee Gardens CDP,98.1,0,0.3,0.6,2.5
FL,Wekiwa Springs CDP,90.9,2.7,0.1,2.9,9.7
FL,Welaka town,74.9,22.7,0.1,0.3,3.4
FL,Wellington village,80,10.4,0.2,3.8,19.4
FL,Wesley Chapel CDP,75,11.4,0.3,5.7,20.1
FL,West Bradenton CDP,93.8,0.8,0.5,1.3,4.7
FL,Westchase CDP,82.5,5.3,0.2,6.6,15.5
FL,Westchester CDP,95.7,1.2,0.1,0.4,91.1
FL,West DeLand CDP,84.9,7,0.3,0.8,12.2
FL,Westgate CDP,41.2,37.1,0.9,1.7,41.6
FL,West Lealman CDP,86.2,4.5,0.4,3.9,8.3
FL,West Little River CDP,42.7,49.3,0.2,0.2,50.6
FL,West Melbourne,85.5,4.9,0.3,5,9
FL,West Miami,95,1.3,0.2,0.2,90.2
FL,Weston,85.8,4.4,0.1,4.6,44.9
FL,West Palm Beach,56.7,32.5,0.5,2.3,22.6
FL,West Park,32.8,57.9,0.4,1,28.9
FL,West Pensacola CDP,47.8,42.2,1,3.3,5.2
FL,West Perrine CDP,30.9,62.7,0.3,1,31.7
FL,West Samoset CDP,57.7,23.4,0.4,0.1,48.5
FL,West Vero Corridor CDP,96.3,0.8,0.1,0.6,5.2
FL,Westview CDP,23.7,69.5,0.3,0.2,29.6
FL,Westville town,96.5,0.3,0,0,1.7
FL,Westwood Lakes CDP,94.2,1.3,0,1,86
FL,Wewahitchka,87.6,8.3,0.6,0.1,2
FL,Whiskey Creek CDP,94.8,1.6,0.3,1.4,5.2
FL,White CDP,90.9,3.4,0.3,1.3,10
FL,White Springs town,48.3,48.5,0,0.3,3.3
FL,Whitfield CDP (Manatee County),91.4,3.4,0.4,1.3,9.3
FL,Whitfield CDP (Santa Rosa County),93.6,0,3.1,0,4.7
FL,Wildwood,74.7,21,0.4,1.1,5.6
FL,Williamsburg CDP,82.6,4,0.2,6.4,17.2
FL,Williston,69.1,23.4,0.1,1.6,11.3
FL,Williston Highlands CDP,92.5,4,0.4,0,6.8
FL,Willow Oak CDP,70.4,7.1,0.4,0.5,37.1
FL,Wilton Manors,80.8,12.4,0.3,2.2,12.9
FL,Wimauma CDP,68.5,6.2,1,0.9,73.4
FL,Windermere town,94.2,1.4,0,3,5.1
FL,Windsor CDP,97.7,0,0.8,0.4,2.3
FL,Winter Beach CDP,88.5,6.3,0.3,1.9,8.9
FL,Winter Garden,68.8,16,0.4,5.1,22
FL,Winter Haven,64.7,27.7,0.3,2,11
FL,Winter Park,86.9,7.6,0.2,2.3,7
FL,Winter Springs,86.6,5.5,0.3,2.6,15
FL,Wiscon CDP,95.9,1.1,0.7,0.1,3.5
FL,Woodlawn Beach CDP,93.4,1.8,0.6,1,4.9
FL,Woodville CDP,75.4,19.7,0.4,0.4,3.3
FL,World Golf Village CDP,88.9,4,0.2,3.4,7.6
FL,Worthington Springs town,89.5,3.9,0,0,7.2
FL,Wright CDP,69.8,15.5,0.5,4.3,11.8
FL,Yalaha CDP,86.8,9.2,0.2,1.1,4.9
FL,Yankeetown town,97.4,0,0.2,0.2,1.8
FL,Yeehaw Junction CDP,92.1,0,1.3,0.4,6.3
FL,Yulee CDP,90.5,5.6,0.4,0.9,3.1
FL,Zellwood CDP,90.6,2,0.4,0.5,12.1
FL,Zephyrhills,88.7,4.9,0.2,1.4,10.4
FL,Zephyrhills North CDP,94,1.2,0.3,1.3,5.6
FL,Zephyrhills South CDP,94.8,1.3,0.5,0.6,5.3
FL,Zephyrhills West CDP,96.8,0.9,0.3,0.5,3.6
FL,Zolfo Springs town,64.7,4.2,0.5,0.6,64.4
GA,Abbeville,41,55.8,0.1,0.5,5.3
GA,Acworth,62.5,25.6,0.3,3.5,12.4
GA,Adairsville,81,13.8,0.3,0.8,5.4
GA,Adel,46.9,45.4,0.2,1,7.9
GA,Adrian,61.1,32.1,0.6,0.3,5
GA,Ailey,63,34.3,0,0.2,3.7
GA,Alamo town,40.9,57.7,0,0.1,4.3
GA,Alapaha town,36.2,61.5,0.1,0.1,3.4
GA,Albany,25.2,71.6,0.2,0.8,2.1
GA,Aldora town,82.5,9.7,1.9,0,6.8
GA,Allenhurst,47.9,44,0,2.3,5.8
GA,Allentown,66.3,29,0,0,3
GA,Alma,52.7,40.5,0.1,0.7,7.2
GA,Alpharetta,70,10.9,0.2,13.4,8.5
GA,Alston town,84.3,12.6,0,0,1.3
GA,Alto town,57.8,2.3,0.3,3.5,43.6
GA,Ambrose,65.5,16.8,0.3,0,25
GA,Americus,30.6,63.5,0.3,1.8,4.6
GA,Andersonville,60.8,35.3,1.6,0,3.1
GA,Arabi town,76.5,22.9,0,0,0.2
GA,Aragon,88.5,5.5,0.5,0.6,5
GA,Arcade,88.9,7.3,0.3,1.1,2.4
GA,Argyle town,51.9,44.3,0,0,3.8
GA,Arlington,21.7,76.1,0.2,0,1.6
GA,Arnoldsville,86.3,7.3,0.6,2.8,3.1
GA,Ashburn,30.5,65.4,0.2,0.6,3.2
GA,Athens-Clarke County unified government,61.9,26.6,0.2,4.2,10.4
GA,Athens-Clarke County unified government (balance),61.8,26.6,0.2,4.2,10.5
GA,Atlanta,38.4,54,0.2,3.1,5.2
GA,Attapulgus,41,48.8,0.7,0.9,15.4
GA,Auburn,85.3,4.9,0.4,4.1,7.7
GA,Augusta-Richmond County consolidated government,39.7,54.2,0.3,1.7,4.1
GA,Augusta-Richmond County consolidated government (balance),39.1,54.7,0.3,1.7,4.1
GA,Austell,33,55.4,0.2,1.5,11.9
GA,Avalon town,84,10.3,0.5,0,0.9
GA,Avera,91.1,6.9,0,0,0
GA,Avondale Estates,80.9,14.5,0.1,1.9,2.2
GA,Baconton,38.3,58.4,0.2,0.7,1.1
GA,Bainbridge,41.1,54.7,0.3,0.8,4.1
GA,Baldwin,73.3,3.5,1.7,2.8,37.4
GA,Ball Ground,96.4,0.8,0.1,0.4,1.6
GA,Barnesville,40.5,56.4,0.2,0.3,1.6
GA,Bartow town,41.3,58.4,0,0,0.3
GA,Barwick,46.9,48.2,0.8,0.3,3.9
GA,Baxley,55.5,35.8,0.2,1.3,10.6
GA,Bellville,91.9,7.3,0,0,1.6
GA,Belvedere Park CDP,19.2,76.3,0.3,0.8,3.5
GA,Berkeley Lake,75.5,5.7,0.1,14.3,3.6
GA,Berlin,63.3,16.2,1.1,0.2,23
GA,Bethlehem town,83.2,8.2,0.3,2.2,6.8
GA,Between town,90.9,7.4,0,0,3.4
GA,Bishop town,93.3,3.6,0,2.2,3.1
GA,Blackshear,75,20.6,0.6,0.7,3.2
GA,Blairsville,91,4.6,0.6,0.2,4.6
GA,Blakely,33.6,64.2,0.3,0.5,2
GA,Bloomingdale,87.7,7.6,0.3,1.4,4.7
GA,Blue Ridge,94.3,1.2,0.2,0.5,4.5
GA,Bluffton town,82.5,14.6,0,0,1.9
GA,Blythe,81.1,14,0.4,0.6,4.3
GA,Bogart town,85.9,6.7,0.2,2.4,7.8
GA,Bonanza CDP,22.7,68.1,0.4,2.3,10.6
GA,Boston,32.9,65.3,0.5,0,2.1
GA,Bostwick,83,12.6,0,0,2.2
GA,Bowdon,72.1,23.3,0.3,0.4,3.2
GA,Bowersville town,72.9,20.4,0.2,0,4.7
GA,Bowman,71.3,26.7,0,0.2,3.4
GA,Boykin CDP,76.9,21,0,0,2.1
GA,Braselton town,82.9,8.8,0.4,3.9,8.2
GA,Braswell town,91,6.9,0,0,2.6
GA,Bremen,89.1,7.8,0.2,0.9,1.8
GA,Brinson town,72.6,26,0,0,4.7
GA,Bronwood town,28.4,68.9,1.8,0,3.6
GA,Brooklet,85.1,11.5,0.4,0.3,1.6
GA,Brooks town,96.2,0.6,0.2,0.6,3.8
GA,Broxton,51.2,42.6,0.2,0.5,9.5
GA,Brunswick,31.4,59.2,0.3,0.6,11.3
GA,Buchanan,88,8,0.2,0.4,3.2
GA,Buckhead town,77.8,21.6,0,0,1.2
GA,Buena Vista,19.2,65.5,0.6,0.4,16.9
GA,Buford,65.8,13.8,0.3,2.9,25.5
GA,Butler,46.8,51.4,0,0.8,2
GA,Byromville town,44.3,49.3,0,0.2,13.9
GA,Byron,65.4,29,0.2,1.8,3.9
GA,Cadwell town,70.1,29.2,0,0,2.1
GA,Cairo,40.5,48.2,0.6,0.7,14.4
GA,Calhoun,73.3,6.8,0.5,1.7,25
GA,Calvary CDP,78.9,8.7,0.6,0,13
GA,Camak town,48.6,50,0,0,1.4
GA,Camilla,24.9,69.2,0.3,0.9,4.6
GA,Candler-McAfee CDP,6.4,91.3,0.3,0.2,1.3
GA,Canon,90.4,2.9,0.7,1,6.6
GA,Canoochee CDP,76.1,22.5,0,1.4,0
GA,Canton,75.6,8.9,0.8,1.3,22.5
GA,Carl town,85.1,7.1,0.4,4.3,3.9
GA,Carlton,77.7,20.4,0.8,0.8,1.2
GA,Carnesville,82.3,14.7,0,0.7,2.1
GA,Carrollton,58.4,31.9,0.4,1.4,10.8
GA,Cartersville,70.8,18.5,0.4,1,12.7
GA,Cave Spring,84.7,12.9,0,0.6,2
GA,Cecil,50,43.4,0,2.1,4.5
GA,Cedar Springs CDP,90.5,8.1,1.4,0,1.4
GA,Cedartown,56.5,18.8,0.5,1,31
GA,Centerville,70.8,19.9,0.5,4.1,5.9
GA,Centralhatchee town,85.5,9.6,1.7,0.2,0
GA,Chamblee,45.1,7,2.1,8,58.5
GA,Chatsworth,84.6,1,0.5,0.6,19.2
GA,Chattahoochee Hills,68.6,28,0.2,0.3,5.6
GA,Chattanooga Valley CDP,96.5,0.9,0.5,0.3,1.6
GA,Chauncey,64.9,33.9,0,0,3.5
GA,Cherry Log CDP,99.2,0,0,0,0
GA,Chester town,40.9,57.8,0.1,0.2,3.6
GA,Chickamauga,95.9,0.7,0.1,0.6,1.1
GA,Clarkesville,90.3,4.8,0.2,1.1,5.5
GA,Clarkston,13.6,58.4,0.2,21.6,2.8
GA,Claxton,48,42,0,1,9.6
GA,Clayton,85.1,1.5,0.5,0.7,20.8
GA,Clermont town,96.6,0.7,0.2,0,2.1
GA,Cleveland,87.8,6.9,0.6,1,4.4
GA,Climax,62.5,35.4,0.4,0.4,1.4
GA,Cobbtown,88.9,5.7,1.1,0,4
GA,Cochran,48.2,48.5,0.1,1.6,1.8
GA,Cohutta,95.8,2.3,0.3,0.6,2
GA,Colbert,91.9,6.8,0.2,0.2,2
GA,Coleman CDP,32.3,65.4,0,0,2.4
GA,College Park,13,79.4,0.4,0.9,6.9
GA,Collins,58.2,38,0,0,3.3
GA,Colquitt,51,46.6,0.2,1,2
GA,Columbus,46.3,45.5,0.4,2.2,6.4
GA,Comer,78.5,17.1,0.6,2.1,1.3
GA,Commerce,79.1,13.5,0.4,1.1,7.7
GA,Concord,81.3,15.7,0.3,0,1.3
GA,Conley CDP,19.7,57.6,0.4,3.3,23.8
GA,Conyers,29.9,56.6,0.3,1.4,16.3
GA,Coolidge,47.4,43.2,0.4,1.5,4.8
GA,Cordele,29,66.6,0.1,1.3,3.3
GA,Cornelia,67.7,5.7,0.9,4.2,34.8
GA,Country Club Estates CDP,45.1,46.6,0.3,1.7,7.6
GA,Covington,46.8,47.4,0.2,0.7,5.5
GA,Crawford,63.6,32.1,0,1,1.9
GA,Crawfordville,37.5,59.7,0.2,0.7,1.5
GA,Crooked Creek CDP,92,6.4,0.3,0.3,1.4
GA,Culloden,42.3,57.7,0,0,0.6
GA,Cumming,76.6,2.9,0.5,1.4,31.4
GA,Cusseta-Chattahoochee County unified government,68.8,18.8,0.7,2.2,12.4
GA,Cuthbert,19.5,78.8,0.1,0.5,1.7
GA,Dacula,76.6,11.3,0.3,3.2,13.6
GA,Dahlonega,91.3,3.1,0.4,1.2,6
GA,Daisy,79.8,17.1,0,0,3.1
GA,Dallas,61.1,31.2,0.4,1.3,7.2
GA,Dalton,65,6.4,0.6,2.4,48
GA,Damascus,32.3,63.8,0,2.4,0.4
GA,Danielsville,96.3,0.5,0.4,0.2,2.9
GA,Danville town,60.9,39.1,0,0,2.5
GA,Darien,52.9,44.2,0.3,0.8,1.9
GA,Dasher town,85.6,8.2,0.4,0.4,4.6
GA,Davisboro,36.4,61.5,0,0.4,7
GA,Dawson,18.8,78.3,0.1,0.4,2.2
GA,Dawsonville,94.6,1.7,0.1,0.6,4.7
GA,Dearing town,87.8,9.1,0.5,0.2,2.7
GA,Decatur,73.5,20.2,0.2,2.9,3.2
GA,Deenwood CDP,81.5,14.4,0.2,1.2,1.5
GA,Deepstep town,99.2,0,0,0.8,0
GA,Demorest,88.2,3.2,0.2,1.4,6.8
GA,Denton,78.4,20,0,0,1.2
GA,De Soto,29.7,67.2,0,2.1,3.6
GA,Dewy Rose CDP,69.5,27.3,0,3.2,1.3
GA,Dexter town,72.2,26.4,0,0.2,0.2
GA,Dillard,91.4,0,0.3,0.6,24.8
